Lookup,Connect,SSLConnect,PreXfer,StartXfer,Total
0.026334,0.036885,0.058531,0.058605,0.485501,0.485561
0.001178,0.011597,0.033214,0.033274,0.090688,0.090731
0.001073,0.008962,0.027576,0.027633,0.078009,0.078047
0.001611,0.010815,0.033142,0.033259,0.087694,0.087783
0.001283,0.010479,0.036305,0.036384,0.123205,0.123245
0.001135,0.010436,0.031806,0.03189,0.088512,0.088554
0.000962,0.008897,0.029836,0.02991,0.079206,0.079249
0.001067,0.010236,0.045008,0.045086,0.103069,0.103118
0.000972,0.011431,0.03783,0.037902,0.096289,0.096328
0.001,0.009256,0.076913,0.076991,0.151741,0.151787
0.001126,0.010148,0.033846,0.033914,0.092087,0.092133
0.00099,0.009954,0.032637,0.032727,0.089454,0.08949
0.001099,0.008923,0.028228,0.028283,0.0803,0.080334
0.000976,0.01149,0.050691,0.050755,0.118758,0.118805
0.00107,0.01021,0.032121,0.032179,0.083192,0.083235
0.000998,0.011441,0.032077,0.03236,0.083499,0.083538
0.001225,0.010295,0.029333,0.029515,0.083095,0.083127
0.000953,0.009969,0.034854,0.034937,0.101942,0.101979
0.001008,0.008939,0.028183,0.02824,0.080042,0.080076
0.00103,0.012225,0.034258,0.034328,0.105199,0.105234
0.001048,0.008774,0.077322,0.077392,0.209779,0.209831
0.001328,0.010368,0.029955,0.030134,0.080422,0.080461
0.00108,0.010214,0.029611,0.029682,0.089728,0.089777
0.001066,0.01025,0.049319,0.049396,0.158406,0.158463
0.000982,0.010167,0.032232,0.032296,0.083723,0.083773
0.001092,0.0089,0.033285,0.033357,0.085597,0.085834
0.001147,0.010208,0.030818,0.030878,0.093812,0.093858
0.001047,0.011382,0.032415,0.032471,0.085509,0.085553
0.001119,0.011601,0.042952,0.043023,0.135399,0.13544
0.001067,0.010248,0.031043,0.031149,0.083096,0.083145
0.001027,0.011448,0.036369,0.036439,0.08833,0.088366
0.001032,0.010151,0.030441,0.030498,0.083414,0.083448
0.001073,0.010346,0.043151,0.043219,0.098656,0.098698
0.001239,0.011808,0.03827,0.03838,0.096517,0.096548
0.001064,0.011439,0.032371,0.032432,0.08679,0.086846
0.00096,0.008682,0.03948,0.03954,0.114001,0.114038
0.001167,0.010485,0.029632,0.029699,0.078029,0.078109
0.000999,0.008905,0.029097,0.029163,0.093669,0.093703
0.000925,0.010094,0.035025,0.035093,0.086506,0.086552
0.001045,0.009153,0.03585,0.035934,0.12684,0.126885
0.001127,0.010211,0.037032,0.037108,0.097044,0.097105
0.001246,0.012192,0.042066,0.042131,0.093573,0.093613
0.001134,0.009047,0.033637,0.033825,0.085481,0.085528
0.001062,0.010134,0.031876,0.031943,0.091375,0.091414
0.001041,0.0104,0.053647,0.053721,0.156997,0.157051
0.001156,0.010334,0.069709,0.069792,0.142522,0.142567
0.001087,0.008788,0.026863,0.026941,0.0826,0.082653
0.001587,0.010644,0.115335,0.115446,0.186492,0.186531
0.0011,0.009016,0.029423,0.029541,0.082864,0.082907
0.001207,0.010397,0.031075,0.031133,0.084167,0.084229
0.001163,0.010426,0.032349,0.032423,0.081069,0.08112
0.001062,0.008971,0.029471,0.029573,0.086108,0.086145
0.001133,0.010389,0.033409,0.033469,0.132097,0.132134
0.001195,0.008924,0.027972,0.028055,0.093082,0.09312
0.001209,0.011778,0.032271,0.032337,0.085068,0.085118
0.001126,0.011673,0.035176,0.035248,0.099043,0.099106
0.001056,0.010574,0.030831,0.030962,0.096081,0.096116
0.001078,0.009997,0.029362,0.029435,0.08106,0.081105
0.001416,0.010608,0.029647,0.029706,0.103855,0.103897
0.001682,0.012012,0.035814,0.035875,0.08912,0.08915
0.001037,0.010198,0.030944,0.031027,0.083059,0.083103
0.000998,0.011599,0.034396,0.034466,0.09238,0.092435
0.00108,0.011401,0.036308,0.036377,0.08902,0.08906
0.001068,0.009971,0.028803,0.028871,0.078498,0.078533
0.001139,0.010318,0.032976,0.033048,0.092262,0.092312
0.001085,0.008742,0.028306,0.028365,0.076216,0.07625
0.001072,0.011613,0.040634,0.040702,0.096343,0.096388
0.000988,0.01148,0.040638,0.04071,0.09671,0.096745
0.001028,0.010141,0.029171,0.029241,0.084148,0.08418
0.001001,0.008961,0.031809,0.031869,0.089193,0.089247
0.001168,0.010467,0.03047,0.030581,0.084007,0.084214
0.000979,0.009979,0.03274,0.032798,0.085883,0.085924
0.001012,0.010276,0.033917,0.033993,0.095613,0.095649
0.001233,0.009259,0.028152,0.02821,0.083707,0.083749
0.001097,0.008886,0.027225,0.02729,0.077323,0.077374
0.001543,0.011908,0.033265,0.033322,0.090222,0.090268
0.001049,0.010349,0.038769,0.038837,0.089432,0.089468
0.001067,0.011494,0.041014,0.041099,0.108311,0.108356
0.001129,0.011546,0.051091,0.051158,0.177943,0.177987
0.001059,0.010337,0.041596,0.041717,0.100076,0.10012
0.000971,0.011406,0.033635,0.033707,0.082875,0.082929
0.001095,0.010322,0.037383,0.037471,0.088248,0.088283
0.001148,0.010377,0.036718,0.036784,0.091008,0.091061
0.001083,0.008795,0.028018,0.028085,0.087619,0.087663
0.001077,0.01036,0.030985,0.031043,0.085443,0.085486
0.000972,0.010357,0.031783,0.03184,0.088086,0.088133
0.001236,0.008964,0.029417,0.029492,0.083517,0.083553
0.001171,0.010071,0.032992,0.033053,0.090712,0.090756
0.000937,0.01203,0.035098,0.035172,0.087707,0.087749
0.001013,0.009165,0.027482,0.027566,0.070851,0.070901
0.00111,0.009002,0.030818,0.03088,0.078144,0.078201
0.001105,0.009132,0.029558,0.029688,0.077365,0.077418
0.001153,0.008932,0.027313,0.027378,0.078752,0.078798
0.000955,0.010127,0.030251,0.030312,0.084258,0.084305
0.001129,0.03043,0.056247,0.056361,0.108023,0.108072
0.009528,0.019905,0.043108,0.043186,0.098696,0.098741
0.000998,0.010041,0.029495,0.02957,0.082615,0.082655
0.001011,0.008828,0.027884,0.027953,0.079348,0.079381
0.00107,0.011335,0.036155,0.03622,0.095598,0.095629
0.001094,0.00885,0.06233,0.062404,0.118221,0.118266